category,bin_lo,taker_side,vwar_pp,contracts,n,mid
Science/Tech,0.55,no,-4.298592392932017,10017.0,102,0.5750000000000001
Science/Tech,0.55,yes,30.387793292068515,6947.0,75,0.5750000000000001
Science/Tech,0.6,no,-8.648139335680959,10507.0,128,0.625
Science/Tech,0.6,yes,3.9849890163534343,16388.0,163,0.625
Science/Tech,0.65,no,14.246579207222466,14178.0,171,0.675
Science/Tech,0.65,yes,13.486770611859203,16932.0,154,0.675
Science/Tech,0.7,no,52.48142471352456,13701.0,200,0.725
Science/Tech,0.7,yes,-39.186202686202684,9828.0,223,0.725
Science/Tech,0.75,no,49.190513219284604,10288.0,126,0.775
Science/Tech,0.75,yes,-35.32678188184795,17706.0,216,0.775
Science/Tech,0.8,no,29.90555927662424,13437.0,124,0.8250000000000001
Science/Tech,0.8,yes,-59.64025072755768,13401.0,145,0.8250000000000001
Science/Tech,0.85,no,-12.945164614633619,18437.0,241,0.875
Science/Tech,0.85,yes,1.9966329966329979,6831.0,109,0.875
Science/Tech,0.9,no,-8.146178010471209,14325.0,240,0.925
Science/Tech,0.9,yes,7.345085470085458,22464.0,333,0.925
Science/Tech,0.95,no,-1.955899532710282,13696.0,59,0.975
Science/Tech,0.95,yes,2.6270002540005097,23622.0,149,0.975
Sports,0.0,no,0.10694679060514996,31045401.0,136566,0.025
Sports,0.0,yes,-0.7034148752662408,183444797.0,323214,0.025
Sports,0.05,no,1.5519102546881995,24917803.0,116560,0.07500000000000001
Sports,0.05,yes,-4.153851265692919,80311182.0,317628,0.07500000000000001
Sports,0.1,no,2.1624424399118896,20822588.0,91308,0.125
Sports,0.1,yes,-3.7368602960820034,55244757.0,259033,0.125
Sports,0.15,no,0.23196057795688338,21767923.0,88747,0.175
Sports,0.15,yes,-3.2060332049957148,57832081.0,279472,0.175
Sports,0.2,no,-2.9094587226624937,19041514.0,82270,0.225
Sports,0.2,yes,1.7209152202032427,55180906.0,283342,0.225
Sports,0.25,no,4.282719511230939,17821423.0,76615,0.275
Sports,0.25,yes,-1.0034309331959792,53616025.0,289649,0.275
Sports,0.3,no,2.8774534696285357,17439792.0,73703,0.325
Sports,0.3,yes,-2.710351026850264,55661782.0,290284,0.325
Sports,0.35,no,0.464874657499725,15457287.0,74834,0.375
Sports,0.35,yes,-0.028601781074234653,61659307.0,329239,0.375
Sports,0.4,no,-0.020358272841816523,21489544.0,89320,0.42500000000000004
Sports,0.4,yes,-4.485519018087522,76127607.0,388683,0.42500000000000004
Sports,0.45,no,3.085884022416766,19892827.0,93792,0.47500000000000003
Sports,0.45,yes,-3.0821973501748774,101721065.0,490720,0.47500000000000003
Sports,0.5,no,-2.2747901702245885,22378497.0,95539,0.525
Sports,0.5,yes,-3.0789794403550883,94003325.0,436060,0.525
Sports,0.55,no,-5.582273470542337,17404061.0,74763,0.5750000000000001
Sports,0.55,yes,4.124947059680088,102974444.0,449977,0.5750000000000001
Sports,0.6,no,-5.411631930819006,14563773.0,66452,0.625
Sports,0.6,yes,-3.1689106777954015,62376696.0,309824,0.625
Sports,0.65,no,-0.1704278427011676,12951933.0,59869,0.675
Sports,0.65,yes,-0.4438269168544031,53147243.0,260460,0.675
Sports,0.7,no,1.676669274382244,10998132.0,52258,0.725
Sports,0.7,yes,2.5263564213754175,35892202.0,183147,0.725
Sports,0.75,no,0.2411954102388138,11650628.0,54942,0.775
Sports,0.75,yes,0.3766890624388624,31198299.0,160823,0.775
Sports,0.8,no,-2.302432489580558,12206301.0,56414,0.8250000000000001
Sports,0.8,yes,-1.118514087459555,29256446.0,150770,0.8250000000000001
Sports,0.85,no,1.1664382325846525,11317634.0,56984,0.875
Sports,0.85,yes,-1.3550742298000975,26637954.0,128562,0.875
Sports,0.9,no,-2.6215172506640694,14677377.0,71826,0.925
Sports,0.9,yes,1.538849371563048,27388268.0,131840,0.925
Sports,0.95,no,-0.8373184062826703,39420692.0,147876,0.975
Sports,0.95,yes,-0.3452777767761229,37438245.0,150274,0.975
Weather,0.0,no,-0.7805379109556695,25623200.0,293080,0.025
Weather,0.0,yes,-0.6954261079030629,68030726.0,206702,0.025
Weather,0.05,no,-2.540960999764101,10556090.0,208830,0.07500000000000001
Weather,0.05,yes,-0.5217113867828731,11071863.0,160353,0.07500000000000001
Weather,0.1,no,-2.386083045417115,7806090.0,177275,0.125
Weather,0.1,yes,0.17708856144300886,7633017.0,150049,0.125
Weather,0.15,no,-2.633225811018207,6569489.0,160060,0.175
Weather,0.15,yes,-0.13373529680846732,6853359.0,151003,0.175
Weather,0.2,no,-1.5937433345694842,5560406.0,146995,0.225
Weather,0.2,yes,0.6888926502185451,6043962.0,145996,0.225
Weather,0.25,no,-2.2374098645505267,4787101.0,134485,0.275
Weather,0.25,yes,0.24720387941340807,5656319.0,148386,0.275
Weather,0.3,no,-1.4578326573035671,4215051.0,123799,0.325
Weather,0.3,yes,0.3147813698163644,5827146.0,161548,0.325
Weather,0.35,no,1.2932733726681,3435808.0,110475,0.375
Weather,0.35,yes,-0.02880619109717535,5671628.0,168975,0.375
Weather,0.4,no,1.3587078699509394,2760589.0,92050,0.42500000000000004
Weather,0.4,yes,-0.14183651737524275,4995956.0,152252,0.42500000000000004
